"RK_name","RK_PK","RK_TM","RK_Player","RK_College","RK_Yrs","RK_G","RK_MP","RK_PTS","RK_TRB","RK_AST","RK_FG","RK__3P","RK_FT","RK_MP2","RK_PTS2","RK_TRB2","RK_AST2","RK_WS","RK_WS_48","RK_BPM","RK_VORP"
"56","56","DEN","Daniel Hamilton","UConn","2","25","232","69","52","30",".394",".357",".500","9.3","2.8","2.1","1.2","0.0",".000","-3.3","-0.1"
"57","57","MEM","Wang Zhelin","","","","","","","","","","","","","","","","","",""
"58","58","BOS","Abdel Nader","Iowa State","3","164","2083","732","287","84",".421",".352",".716","12.7","4.5","1.8","0.5","2.1",".048","-2.8","-0.4"
"59","59","SAC","Isaiah Cousins","Oklahoma","","","","","","","","","","","","","","","","",""
"60","60","UTA","Tyrone Wallace","California","3","106","1639","549","228","126",".425",".203",".671","15.5","5.2","2.2","1.2","0.2",".006","-5.1","-1.3"
"1","1","PHI","Markelle Fultz","Washington","3","105","2676","1125","351","481",".452",".267",".677","25.5","10.7","3.3","4.6","3.2",".058","-2.1","0.0"
"2","2","LAL","Lonzo Ball","UCLA","3","162","5228","1738","994","1069",".390",".341",".487","32.3","10.7","6.1","6.6","6.0",".055","0.5","3.3"
"3","3","BOS","Jayson Tatum","Duke","3","225","7158","3902","1339","496",".457",".401",".829","31.8","17.3","6.0","2.2","18.9",".127","1.6","6.5"
"4","4","PHO","Josh Jackson","Kansas","3","178","4328","2120","764","337",".417",".298",".655","24.3","11.9","4.3","1.9","-1.8","-.020","-4.0","-2.2"
"5","5","SAC","De'Aaron Fox","Kentucky","3","205","6206","3320","704","1258",".451",".328",".718","30.3","16.2","3.4","6.1","9.1",".070","-0.3","2.7"
"6","6","ORL","Jonathan Isaac","Florida State","3","136","3512","1269","741","146",".435",".330",".797","25.8","9.3","5.4","1.1","6.7",".091","0.2","2.0"
"7","7","MIN","Lauri Markkanen","Arizona","3","170","5194","2744","1291","228",".430",".356",".848","30.6","16.1","7.6","1.3","8.7",".080","-0.3","2.2"
"8","8","NYK","Frank Ntilikina","","3","178","3797","1066","385","543",".366",".311",".783","21.3","6.0","2.2","3.1","-0.8","-.011","-4.7","-2.5"
"9","9","DAL","Dennis Smith","NC State","3","156","4094","1957","493","708",".400",".314",".647","26.2","12.5","3.2","4.5","-1.6","-.018","-2.7","-0.7"
"10","10","SAC","Zach Collins","Gonzaga","3","154","2691","881","614","139",".444",".324",".722","17.5","5.7","4.0","0.9","3.9",".069","-2.6","-0.4"
"11","11","CHO","Malik Monk","Kentucky","3","191","3281","1638","360","322",".395",".322",".850","17.2","8.6","1.9","1.7","1.0",".015","-2.9","-0.7"
"12","12","DET","Luke Kennard","Duke","3","164","3822","1613","457","353",".441",".402",".863","23.3","9.8","2.8","2.2","7.0",".088","-0.8","1.2"
"13","13","DEN","Donovan Mitchell","Louisville","3","225","7600","5100","916","907",".439",".355",".824","33.8","22.7","4.1","4.0","15.7",".099","1.5","6.7"
"14","14","MIA","Bam Adebayo","Kentucky","3","223","5698","2352","1713","653",".553",".139",".710","25.6","10.5","7.7","2.9","19.5",".164","2.0","5.7"
"15","15","POR","Justin Jackson","UNC","3","214","4165","1396","553","222",".431",".324",".788","19.5","6.5","2.6","1.0","5.0",".058","-2.7","-0.8"
"16","16","CHI","Justin Patton","Creighton","3","9","49","16","11","5",".368",".167",".500","5.4","1.8","1.2","0.6","0.0",".015","-5.5","0.0"
"17","17","MIL","D.J. Wilson","Michigan","3","107","1316","434","324","80",".414",".322",".567","12.3","4.1","3.0","0.7","2.1",".078","-2.7","-0.2"
"18","18","IND","T.J. Leaf","UCLA","3","139","1203","465","278","42",".491",".341",".571","8.7","3.3","2.0","0.3","2.7",".107","-1.8","0.1"
"19","19","ATL","John Collins","Wake Forest","3","176","4977","2850","1552","279",".571",".369",".757","28.3","16.2","8.8","1.6","16.4",".158","1.1","3.9"
"20","20","POR","Harry Giles","Duke","2","104","1487","724","410","145",".524",".000",".686","14.3","7.0","3.9","1.4","2.5",".081","-2.2","-0.1"
"21","21","OKC","Terrance Ferguson","","3","191","3951","922","262","142",".406",".337",".753","20.7","4.8","1.4","0.7","4.6",".056","-3.9","-1.9"
"22","22","BRK","Jarrett Allen","Texas","3","222","5389","2235","1731","269",".609",".167",".694","24.3","10.1","7.8","1.2","20.0",".178","1.2","4.4"
"23","23","TOR","OG Anunoby","Indiana","3","210","4899","1640","745","210",".480",".365",".650","23.3","7.8","3.5","1.0","10.7",".105","-0.3","2.1"
"24","24","UTA","Tyler Lydon","Syracuse","2","26","96","23","18","6",".500",".400",".333","3.7","0.9","0.7","0.2","0.2",".084","-4.3","-0.1"
"25","25","ORL","Anžejs Pasečņiks","","1","27","437","156","107","18",".526",".000",".586","16.2","5.8","4.0","0.7","0.5",".054","-5.6","-0.4"
"26","26","POR","Caleb Swanigan","Purdue","3","75","655","169","218","56",".438",".118",".614","8.7","2.3","2.9","0.7","-0.2","-.015","-6.2","-0.7"
"27","27","BRK","Kyle Kuzma","Utah","3","208","6241","3332","1138","399",".449",".331",".732","30.0","16.0","5.5","1.9","9.0",".069","-1.4","0.9"
"28","28","LAL","Tony Bradley","UNC","3","70","728","310","293","25",".634",".750",".660","10.4","4.4","4.2","0.4","3.4",".222","0.6","0.5"
"29","29","SAS","Derrick White","Colorado","3","152","3544","1482","496","513",".469",".364",".816","23.3","9.8","3.3","3.4","8.3",".112","1.1","2.8"
"30","30","UTA","Josh Hart","Villanova","3","195","4931","1677","936","281",".430",".353",".713","25.3","8.6","4.8","1.4","8.6",".084","-0.7","1.6"
"31","31","CHO","Frank Jackson","Duke","2","120","1966","866","217","130",".422",".319",".743","16.4","7.2","1.8","1.1","0.6",".015","-5.0","-1.5"
"32","32","PHO","Davon Reed","Miami (FL)","2","31","289","75","45","16",".307",".310",".667","9.3","2.4","1.5","0.5","-0.2","-.039","-6.3","-0.3"
"33","33","ORL","Wesley Iwundu","Kansas State","3","182","3206","868","452","190",".418",".319",".794","17.6","4.8","2.5","1.0","4.2",".063","-3.4","-1.1"
"34","34","SAC","Frank Mason","Kansas","3","99","1537","670","192","260",".397",".298",".757","15.5","6.8","1.9","2.6","1.2",".038","-2.4","-0.1"
"35","35","ORL","Ivan Rabb","California","2","85","1237","485","364","86",".555",".200",".743","14.6","5.7","4.3","1.0","3.2",".125","-1.7","0.1"
"36","36","PHI","Jonah Bolden","","2","51","686","217","174","40",".486",".340",".484","13.5","4.3","3.4","0.8","1.4",".098","-1.3","0.1"
"37","37","BOS","Semi Ojeleye","SMU","3","198","2755","617","392","80",".391",".340",".688","13.9","3.1","2.0","0.4","3.7",".065","-3.4","-1.0"
"38","38","CHI","Jordan Bell","Oregon","3","154","1853","578","472","194",".563",".222",".638","12.0","3.8","3.1","1.3","4.9",".126","0.5","1.2"
"39","39","PHI","Jawun Evans","Oklahoma State","2","56","843","237","96","110",".345",".263",".776","15.1","4.2","1.7","2.0","-0.4","-.022","-5.4","-0.7"
"40","40","NOP","Dwayne Bacon","Florida State","3","135","2159","715","313","137",".403",".345",".718","16.0","5.3","2.3","1.0","0.3",".007","-5.0","-1.6"
